Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.2130259456813182
Klebsiella pneumoniae,0.20698372939852083
Enterobacter cloacae,0.20582821714838492
Citrobacter freundii,0.20263579133857057
Escherichia coli,0.19363277490841357
Enterobacter spp,0.1893071761647695
Klebsiella oxytoca,0.18792525150697148
Providencia stuartii,0.17632178583472577
Proteus mirabilis,0.17497411623951675
Pseudomonas aeruginosa,0.1710272891644194
Enterobacter hormaechi,0.16579491982044597
Providencia spp,0.16382308180419386
Klebsiella aerogenes,0.1602408633028201
Morganella morganii,0.006405473407145706
