Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.99999999406577,0.9997842134686701,0.9999999999999996
2014,0.9999999227095052,0.9992733178575017,0.9999999999999456
2015,0.9999991003819286,0.9973670015702514,0.9999999999926703
2016,0.9999890781352092,0.9900703195411739,0.9999999990643127
2017,0.999867161319353,0.9602895996013159,0.9999999057293936
2018,0.9983328073710356,0.8151677600540025,0.9999931038323312
2019,0.9792914304609255,0.4303599442530954,0.9996351171471478
2020,0.7700815065397111,0.06422236293775305,0.9919229929599834
2021,0.199115733862125,0.0026628137332003958,0.9260210957345352
2022,0.019417365012769257,4.673530066124406e-05,0.6619874417193196
2023,0.0016503100539899608,5.121937943037579e-07,0.2976013719581338
